Player,From,To,Pos,Ht,Wt,Birth Date,College
Jamal Robinson\robinja03,2001,2001,F,200,212,December 27 1973,University of Virginia
James Robinson\robinja02,1994,2001,G,187,180,August 31 1970,University of Alabama
Larry Robinson\robinla01,1991,2002,F-G,190,180,January 11 1968,Centenary College of Louisiana
Nate Robinson\robinna01,2006,2016,G,175,180,May 31 1984,University of Washington
Oliver Robinson\robinol01,1983,1983,G,193,180,March 13 1960,University of Alabama at Birmingham
Ronnie Robinson\robinro01,1974,1975,F,203,200,March 9 1951,University of Memphis
Rumeal Robinson\robinru01,1991,1997,G,187,195,November 13 1966,University of Michigan
Samuel Robinson\robinsa01,1971,1972,F,200,190,January 1 1948,California State University Long Beach
Thomas Robinson\robinth01,2013,2017,F,208,237,March 17 1991,University of Kansas
Truck Robinson\robintr01,1975,1985,F-C,200,225,October 4 1951,Tennessee State University
Wayne Robinson\robinwa01,1981,1981,F,203,217,April 19 1958,Virginia Polytechnic Institute and State University
Wilbert Robinson\robinwi01,1974,1974,G,187,175,December 25 1949,West Virginia University
Bill Robinzine\robinbi01,1976,1982,F,200,230,January 20 1953,DePaul University
Dave Robisch\robisda01,1972,1984,C-F,208,235,December 22 1949,University of Kansas
Red Rocha\rochare01,1948,1957,C-F,205,185,September 18 1923,Oregon State University
John Roche\rochejo01,1972,1982,G,190,170,September 26 1949,University of South Carolina
Gene Rock\rockge01,1948,1948,G,175,155,November 4 1921,University of Southern California
Jack Rocker\rockeja01,1948,1948,C-F,195,185,August 12 1922,University of California
Guy Rodgers*\rodgegu01,1959,1970,G,182,185,September 1 1935,Temple University
Dennis Rodman*\rodmade01,1987,2000,F,200,210,May 13 1961,Southeastern Oklahoma State University
Sergio Rodriguez\rodrise01,2007,2017,G,190,176,June 12 1986,
Lou Roe\roelo01,1996,1997,F,200,220,July 14 1972,University of Massachusetts Amherst
Carlos Rogers\rogerca01,1995,2002,C-F,210,220,February 6 1971,Tennessee State University
Harry Rogers\rogerha01,1976,1976,F,200,195,December 31 1950,Saint Louis University
Johnny Rogers\rogerjo01,1987,1988,F-C,208,225,December 30 1963,University of California Irvine
Marshall Rogers\rogerma01,1977,1977,G,185,190,August 27 1953,University of Texas-Pan American
Rodney Rogers\rogerro01,1994,2005,F,200,235,June 20 1971,Wake Forest University
Roy Rogers\rogerro02,1997,2000,F,208,235,August 19 1973,University of Alabama
Willie Rogers\rogerwi01,1969,1969,G-F,190,185,September 11 1945,University of Oklahoma
Al Roges\rogesal01,1954,1955,G-F,193,195,October 25 1930,Long Island University
Ken Rohloff\rohloke01,1964,1964,G,182,195,April 18 1939,North Carolina State University
Kenny Rollins\rollike01,1949,1953,G,182,168,September 14 1923,University of Kentucky
Phil Rollins\rolliph01,1959,1961,G,187,185,January 19 1934,University of Louisville
Tree Rollins\rollitr01,1978,1995,C,215,235,June 16 1955,Clemson University
Lorenzo Romar\romarlo01,1981,1985,G,185,175,November 13 1958,University of Washington
Rajon Rondo\rondora01,2007,2017,G,185,186,February 22 1986,University of Kentucky
Jerry Rook\rookje01,1970,1970,F,195,219,October 27 1943,Arkansas State University
Sean Rooks\rooksse01,1993,2004,C,208,250,September 9 1969,University of Arizona
Derrick Rose\rosede01,2009,2017,G,190,190,October 4 1988,University of Memphis
Jalen Rose\roseja01,1995,2007,G-F,203,210,January 30 1973,University of Michigan
Malik Rose\rosema01,1997,2009,F,200,250,November 23 1974,Drexel University
Rob Rose\rosero01,1989,1989,G,195,180,December 27 1964,George Mason University
Petey Rosenberg\rosenpe01,1947,1947,G,177,165,April 7 1918,Saint Joseph's University
Lennie Rosenbluth\rosenle01,1958,1959,F,193,190,January 22 1933,University of North Carolina
Hank Rosenstein\rosenha01,1947,1947,F,193,185,June 16 1920,City College of New York
Dick Rosenthal\rosendi01,1955,1957,F-G,195,205,January 20 1930,University of Notre Dame
Quinton Ross\rossqu01,2005,2011,G,198,195,April 30 1981,Southern Methodist University
Terrence Ross\rosste01,2013,2017,F-G,200,206,February 5 1991,University of Washington
Doug Roth\rothdo01,1990,1990,C,210,255,August 24 1967,University of Tennessee
Scott Roth\rothsc01,1988,1990,F,203,212,June 3 1963,University of Wisconsin
Irv Rothenberg\rotheir01,1947,1949,C,200,215,December 31 1921,Long Island University
Mickey Rottner\rottnmi01,1947,1948,G,177,180,March 23 1919,Loyola University of Chicago
Dan Roundfield\roundda01,1976,1987,F-C,203,205,May 26 1953,Central Michigan University
Giff Roux\rouxgi01,1947,1949,F-C,195,195,June 28 1923,University of Kansas
Ron Rowan\rowanro01,1987,1987,G,195,200,April 23 1962,St. John's University
Curtis Rowe\rowecu01,1972,1979,F,200,225,July 2 1949,University of California Los Angeles
Jim Rowinski\rowinji01,1989,1990,F-C,203,250,January 4 1961,Purdue University
Derrick Rowland\rowlade01,1986,1986,G,195,195,June 21 1959,State University of New York at Potsdam
Brian Rowsom\rowsobr01,1988,1990,F,205,220,October 23 1965,University of North Carolina at Wilmington
Brandon Roy\roybr01,2007,2013,G,198,215,July 23 1984,University of Washington
Donald Royal\royaldo01,1990,1998,F,203,210,May 22 1966,University of Notre Dame
Reggie Royals\royalre01,1975,1975,C,208,200,September 18 1950,Florida State University
Bob Royer\royerbo01,1950,1950,G,177,155,October 15 1927,Indiana State University
Clifford Rozier\roziecl01,1995,1998,C-F,210,245,October 31 1972,University of Louisville
Terry Rozier\roziete01,2016,2017,G,187,190,March 17 1994,University of Louisville
Ricky Rubio\rubiori01,2012,2017,G,193,194,October 21 1990,
Guy Rucker\ruckegu01,2003,2003,F-C,210,265,July 27 1977,University of Iowa
Delaney Rudd\ruddde01,1990,1993,G,187,180,November 8 1962,Wake Forest University
John Rudd\ruddjo01,1979,1979,F,200,230,August 7 1955,McNeese State University
Damjan Rudez\rudezda01,2015,2017,F,208,228,June 17 1986,
John Rudometkin\rudomjo01,1963,1965,F,198,205,June 6 1940,University of Southern California
Michael Ruffin\ruffimi01,2000,2009,F,205,246,January 21 1977,University of Tulsa
Trevor Ruffin\ruffitr01,1995,1996,G,185,185,September 26 1970,University of Hawaii
Paul Ruffner\ruffnpa01,1971,1976,C-F,208,225,October 15 1948,Brigham Young University
Joe Ruklick\ruklijo01,1960,1962,F-C,205,220,August 3 1938,Northwestern University
Jeff Ruland\rulanje01,1982,1993,C-F,208,240,December 16 1958,Iona College
Bob Rule\rulebo01,1968,1975,C-F,205,220,June 29 1944,Colorado State University
Jerry Rullo\rulloje01,1947,1950,G,177,165,June 23 1923,Temple University
Stefano Rusconi\ruscost01,1996,1996,C-F,205,240,October 2 1968,
Brandon Rush\rushbr01,2009,2017,G-F,198,220,July 7 1985,University of Kansas
Kareem Rush\rushka01,2003,2010,G,198,215,October 30 1980,University of Missouri
Bill Russell*\russebi01,1957,1969,C,208,215,February 12 1934,University of San Francisco
Bryon Russell\russebr01,1994,2006,F,200,225,December 31 1970,California State University Long Beach
Campy Russell\russeca02,1975,1985,F,203,215,January 12 1952,University of Michigan
Cazzie Russell\russeca01,1967,1978,F-G,195,218,June 7 1944,University of Michigan
D'Angelo Russell\russeda01,2016,2017,G,195,195,February 23 1996,Ohio State University
Frank Russell\russefr01,1973,1973,G,190,180,April 17 1949,University of Detroit Mercy
Pierre Russell\russepi01,1972,1973,F-G,193,190,December 13 1949,University of Kansas
Rubin Russell\russeru01,1968,1968,G,187,180,November 7 1944,University of North Texas
Walker Russell\russewa01,1983,1988,G,195,195,October 26 1960,Western Michigan University
Walker Russell\russewa02,2012,2012,G,182,170,October 6 1982,Jacksonville State University
Arvydas Sabonis*\sabonar01,1996,2003,C,220,279,December 19 1964,
Domantas Sabonis\sabondo01,2017,2017,F,210,240,May 3 1996,Gonzaga University
Robert Sacre\sacrero01,2013,2016,C,213,270,June 6 1989,Gonzaga University
Ed Sadowski\sadowed01,1947,1950,C,195,240,July 11 1917,Seton Hall University
Kenny Sailors\sailoke01,1947,1951,G,177,175,January 14 1921,University of Wyoming
John Salley\sallejo01,1987,2000,F-C,210,230,May 16 1964,Georgia Institute of Technology
John Salmons\salmojo01,2003,2015,G,200,210,December 12 1979,University of Miami
Al Salvadori\salvaal01,1968,1968,F,205,220,May 6 1945,University of South Carolina
Kevin Salvadori\salvake01,1997,1998,C,213,231,December 30 1970,University of North Carolina
Soumaila Samake\samakso01,2001,2003,C,213,230,March 18 1978,
Cheikh Samb\sambch01,2008,2009,C,215,245,October 22 1984,
JaKarr Sampson\sampsja02,2015,2016,G-F,205,214,March 20 1993,St. John's University
Jamal Sampson\sampsja01,2003,2007,F-C,210,235,May 15 1983,University of California
Ralph Sampson*\sampsra01,1984,1992,C-F,223,228,July 7 1960,University of Virginia
Samardo Samuels\samuesa01,2011,2013,F,205,260,January 9 1989,University of Louisville
Pepe Sanchez\sanchpe01,2001,2003,G,193,195,May 8 1977,Temple University
Al Sanders\sandeal01,1973,1973,F,200,240,January 1 1950,Louisiana State University
Frankie Sanders\sandefr01,1979,1981,F-G,198,200,January 23 1957,Southern University and A&M College
Jeff Sanders\sandeje01,1990,1993,F,203,225,January 14 1966,Georgia Southern University
Larry Sanders\sandela01,2011,2017,C-F,210,235,November 21 1988,Virginia Commonwealth University
Melvin Sanders\sandeme01,2006,2006,G-F,195,210,January 3 1981,Oklahoma State University
Mike Sanders\sandemi01,1983,1993,F-G,198,210,May 7 1960,University of California Los Angeles
Tom Sanders*\sandeto01,1961,1973,F,198,210,November 8 1938,New York University
Ron Sanford\sanforo01,1972,1972,F,205,215,June 11 1946,University of New Mexico
Daniel Santiago\santida01,2001,2005,C,215,256,June 24 1976,Saint Vincent College
Bob Santini\santibo01,1956,1956,F,195,190,February 17 1935,Iona College
Wayne Sappleton\sapplwa01,1985,1985,F,205,215,November 17 1960,Loyola University of Chicago
Dario Saric\saricda01,2017,2017,F,208,223,April 8 1994,
Jason Sasser\sasseja01,1997,1999,F,200,225,January 13 1974,Texas Tech University
Jeryl Sasser\sasseje01,2002,2003,G,198,200,February 13 1979,Southern Methodist University
Tomas Satoransky\satorto01,2017,2017,G,200,210,October 30 1991,
Kenny Satterfield\satteke01,2002,2003,G,187,186,April 10 1981,University of Cincinnati
Pep Saul\saulpe01,1950,1955,G-F,187,185,February 16 1924,Seton Hall University
Woody Sauldsberry\sauldwo01,1958,1966,F-C,200,220,July 11 1934,Texas Southern University
Glynn Saulters\saultgl01,1969,1969,G,187,175,February 10 1945,University of Louisiana at Monroe
Fred Saunders\saundfr01,1975,1978,F,200,210,June 13 1951,Syracuse University
Don Savage\savagdo01,1952,1957,F-G,190,205,April 9 1928,LeMoyne College
Predrag Savovic\savovpr01,2003,2003,G,198,225,May 21 1976,University of Hawaii
Alan Sawyer\sawyeal01,1951,1951,F,195,195,January 1 1928,University of California Los Angeles
Brian Scalabrine\scalabr01,2002,2012,F,205,241,March 18 1978,University of Southern California
Alex Scales\scaleal01,2006,2006,G,193,185,July 3 1978,University of Oregon
DeWayne Scales\scalede01,1981,1984,F,203,208,December 28 1958,Louisiana State University
Frank Schade\schadfr01,1973,1973,G,185,170,January 22 1950,University of Wisconsin-Eau Claire
Ben Schadler\schadbe01,1948,1948,F,182,185,March 9 1924,Northwestern University
Herm Schaefer\schaehe01,1949,1950,G-F,182,175,December 20 1918,Indiana University
Billy Schaeffer\schaebi01,1974,1976,F,195,200,December 11 1951,St. John's University
Bob Schafer\schafbo01,1956,1957,G,190,195,,Villanova University
Ben Scharnus\scharbe01,1947,1949,F,187,173,December 11 1917,Seton Hall University
Marv Schatzman\schatma01,1950,1950,F,195,200,February 18 1927,Saint Louis University
Fred Schaus\schaufr01,1950,1954,F,195,205,June 30 1925,West Virginia University
Danny Schayes\schayda01,1982,1999,C-F,210,235,May 10 1959,Syracuse University
Dolph Schayes*\schaydo01,1950,1964,F-C,203,220,May 19 1928,New York University
Ossie Schectman\schecos01,1947,1947,G,182,175,March 30 1919,Long Island University
Steve Scheffler\schefst01,1991,1997,C-F,205,250,September 3 1967,Purdue University
Tom Scheffler\schefto01,1985,1985,C,210,240,October 27 1954,Purdue University
Dave Schellhase\schelda01,1967,1968,G,190,205,October 14 1944,Purdue University
Luke Schenscher\schenlu01,2006,2007,C,215,255,December 31 1982,Georgia Institute of Technology
Herb Scherer\scherhe01,1951,1952,C,205,212,December 21 1928,Long Island University
Dwayne Schintzius\schindw01,1991,1999,C,215,260,October 14 1968,University of Florida
Dale Schlueter\schluda01,1969,1978,C,208,225,November 12 1945,Colorado State University
Otto Schnellbacher\schneot01,1949,1949,F-G,193,185,April 15 1923,University of Kansas
Dick Schnittker\schnidi01,1951,1958,F,195,200,May 27 1928,Ohio State University
Russ Schoene\schoeru01,1983,1989,F-C,208,210,April 16 1960,University of Tennessee at Chattanooga
Dave Scholz\scholda01,1970,1970,F,203,220,April 12 1948,University of Illinois at Urbana-Champaign
Milt Schoon\schoomi01,1947,1950,C,200,230,February 25 1922,Valparaiso University
Detlef Schrempf\schrede01,1986,2001,F-C,205,214,January 21 1963,University of Washington
Dennis Schroder\schrode01,2014,2017,G,185,172,September 15 1993,
Howie Schultz\schulho01,1950,1953,C-F,198,200,July 3 1922,Hamline University
Dick Schulz\schuldi01,1947,1950,F-G,187,192,January 3 1917,University of Wisconsin
Roger Schurig\schurro01,1968,1968,G,190,185,April 3 1942,Vanderbilt University
John Schweitz\schwejo01,1985,1987,G,198,210,April 19 1960,University of Richmond
Luis Scola\scolalu01,2008,2017,F,205,240,April 30 1980,
Fred Scolari\scolafr01,1947,1955,G,177,180,March 1 1922,University of San Francisco
Alvin Scott\scottal01,1978,1985,F-G,200,185,September 14 1955,Oral Roberts University
Brent Scott\scottbr01,1997,1997,F-C,208,250,June 15 1971,Rice University
Byron Scott\scottby01,1984,1997,G,190,195,March 28 1961,Arizona State University
Charlie Scott\scottch01,1971,1980,G-F,195,175,December 15 1948,University of North Carolina
Dennis Scott\scottde01,1991,2000,F,203,229,September 5 1968,Georgia Institute of Technology
James Scott\scottja01,1997,1997,F,198,180,June 6 1972,St. John's University
Mike Scott\scottmi01,2013,2017,F,203,237,July 16 1988,University of Virginia
Ray Scott\scottra01,1962,1972,F-C,205,215,July 12 1938,University of Portland
Shawnelle Scott\scottsh01,1997,2002,C,208,250,June 16 1972,St. John's University
Willie Scott\scottwi01,1970,1970,F,195,210,May 22 1947,Alabama State University
Paul Scranton\scranpa01,1968,1968,F,195,230,April 30 1944,California State Polytechnic University Pomona
Carey Scurry\scurrca01,1986,1988,F,200,188,December 4 1962,Long Island University
Bruce Seals\sealsbr01,1974,1978,F,203,210,June 18 1953,Xavier University of Louisiana
Shea Seals\sealssh01,1998,1998,G,195,210,August 26 1975,University of Tulsa
Malik Sealy\sealyma01,1993,2000,G,203,190,February 1 1970,St. John's University
Ed Searcy\searced01,1976,1976,F,198,210,April 17 1952,St. John's University
Kenny Sears\searske01,1956,1964,F,205,198,August 17 1933,Santa Clara University
Wayne See\seewa01,1950,1950,G,190,190,November 3 1923,Northern Arizona University
Thabo Sefolosha\sefolth01,2007,2017,G-F,200,220,May 2 1984,
Rony Seikaly\seikaro01,1989,1999,C,210,230,May 10 1965,Syracuse University
Glen Selbo\selbogl01,1950,1950,G-F,190,196,March 29 1926,University of Wisconsin
Josh Selby\selbyjo01,2012,2013,G,187,183,March 27 1991,University of Kansas
Wayne Selden\seldewa01,2017,2017,G-F,195,230,September 30 1994,University of Kansas
Brad Sellers\sellebr01,1987,1993,C-F,213,210,December 17 1962,Ohio State University
Phil Sellers\selleph01,1977,1977,F-G,193,195,November 20 1953,Rutgers University
Rollie Seltz\seltzro01,1950,1950,G-F,177,165,January 25 1924,Hamline University
Lester Selvage\selvale01,1968,1970,G,185,175,March 7 1943,Truman State University
Frank Selvy\selvyfr01,1955,1964,G-F,190,180,November 9 1932,Furman University
Jim Seminoff\seminji01,1947,1950,G-F,187,190,September 1 1922,University of Southern California
Mouhamed Sene\senesa01,2007,2009,C-F,210,230,May 12 1986,
George Senesky\senesge01,1947,1954,G,187,179,April 4 1922,Saint Joseph's University
Kevin Seraphin\serapke01,2011,2017,F,205,285,December 7 1989,
Ansu Sesay\sesayan01,2002,2005,F,205,225,July 29 1976,University of Mississippi
Ramon Sessions\sessira01,2008,2017,G,190,190,April 11 1986,University of Nevada Reno
Ha Seung-Jin\seungha01,2005,2006,C,220,305,August 4 1985,
Tom Sewell\sewelto01,1985,1985,G,195,185,March 11 1962,Lamar University
Paul Seymour\seymopa01,1948,1960,G-F,185,180,January 30 1928,University of Toledo
Nick Shaback\shabani01,1947,1947,G,180,180,September 10 1918,
Lynn Shackelford\shackly01,1970,1970,F,195,190,August 27 1947,University of California Los Angeles
Charles Shackleford\shackch01,1989,1999,F-C,208,225,April 22 1966,North Carolina State University
Carl Shaeffer\shaefca01,1950,1951,F-G,190,185,October 25 1924,University of Alabama
Lee Shaffer\shaffle01,1962,1964,F,200,220,February 23 1939,University of North Carolina
Mustafa Shakur\shakumu01,2011,2014,G,190,190,August 18 1984,University of Arizona
God Shammgod\shammgo01,1998,1998,G,182,169,April 29 1976,Providence College
Earl Shannon\shannea01,1947,1949,G-F,180,170,November 23 1921,University of Rhode Island
Howie Shannon\shannho01,1949,1950,G-F,187,175,June 10 1923,Kansas State University
Chuck Share\sharech01,1952,1960,C,210,235,March 14 1927,Bowling Green State University
Bill Sharman*\sharmbi01,1951,1961,G,185,175,May 25 1926,University of Southern California
Walter Sharpe\sharpwa01,2009,2009,F,205,245,July 18 1986,University of Alabama at Birmingham
John Shasky\shaskjo01,1989,1991,C,210,235,July 31 1964,University of Minnesota
Ron Shavlik\shavlro01,1957,1958,F,203,200,December 4 1933,North Carolina State University
Brian Shaw\shawbr01,1989,2003,G,198,190,March 22 1966,University of California Santa Barbara
Casey Shaw\shawca01,1999,1999,C,210,260,July 20 1975,University of Toledo
Bob Shea\sheabo01,1947,1947,F,187,194,September 11 1924,University of Rhode Island
Fred Sheffield\shefffr01,1947,1947,F,187,165,November 5 1923,University of Utah
Craig Shelton\sheltcr01,1981,1982,F,200,210,May 1 1957,Georgetown University
Lonnie Shelton\sheltlo01,1977,1986,F-C,203,240,October 19 1955,Oregon State University
Tornike Shengelia\shengto01,2013,2014,F,205,217,October 5 1991,
Billy Shepherd\shephbi01,1973,1975,G,177,160,November 18 1949,Butler University
Jeffrey Sheppard\sheppje01,1999,1999,G,190,190,September 29 1974,University of Kentucky
Steve Sheppard\sheppst01,1978,1979,F,198,215,March 21 1954,University of Maryland
Ed Sherod\sheroed01,1983,1983,G,187,170,September 13 1959,Virginia Commonwealth University
Charley Shipp\shippch01,1950,1950,G-F,185,200,December 3 1913,Catholic University of America
Paul Shirley\shirlpa01,2003,2005,F-C,208,230,December 23 1977,Iowa State University
Gene Short\shortge01,1976,1976,F,198,200,August 7 1953,Jackson State University
Purvis Short\shortpu01,1979,1990,F-G,200,210,July 2 1957,Jackson State University
Dexter Shouse\shousde01,1990,1990,G,187,200,March 24 1963,University of South Alabama
Dick Shrider\shriddi01,1949,1949,G,187,190,February 7 1923,Ohio University
Gene Shue\shuege01,1955,1964,G,187,170,December 18 1931,University of Maryland
John Shumate\shumajo01,1976,1981,F-C,205,235,April 6 1952,University of Notre Dame
Iman Shumpert\shumpim01,2012,2017,G,195,220,June 26 1990,Georgia Institute of Technology
Alexey Shved\shvedal01,2013,2015,G,198,190,December 16 1988,
Pascal Siakam\siakapa01,2017,2017,F,205,230,February 4 1994,New Mexico State University
Sam Sibert\sibersa01,1973,1973,F,200,215,February 11 1949,Kentucky State University
Mark Sibley\siblema01,1974,1974,G,187,175,November 13 1950,Northwestern University
Jerry Sichting\sichtje01,1981,1990,G,185,168,November 29 1956,Purdue University
Donald Sidle\sidledo01,1969,1972,F-C,203,215,June 21 1946,University of Oklahoma
Larry Siegfried\siegfla01,1964,1972,F,190,190,May 22 1939,Ohio State University
Ralph Siewert\siewera01,1947,1947,C,215,230,December 31 1923,Dakota Wesleyan University
Jack Sikma\sikmaja01,1978,1991,C-F,210,230,November 14 1955,Illinois Wesleyan University
James Silas\silasja01,1973,1982,G,185,180,February 11 1949,Stephen F. Austin State University
Paul Silas\silaspa01,1965,1980,F-C,200,220,July 12 1943,Creighton University
Xavier Silas\silasxa01,2012,2012,G,195,205,January 22 1988,Northern Illinois University
Garret Siler\silerga01,2011,2011,C,210,305,October 25 1986,Augusta State University
Mike Silliman\sillimi01,1971,1971,F,198,225,May 5 1944,United States Military Academy
Wayne Simien\simiewa01,2006,2007,F,205,255,March 9 1983,University of Kansas
Bobby Simmons\simmobo01,2002,2012,G-F,200,210,June 2 1980,DePaul University
Cedric Simmons\simmoce01,2007,2009,F,205,235,January 3 1986,North Carolina State University
Connie Simmons\simmoco01,1947,1956,C-F,203,222,March 15 1925,
Grant Simmons\simmogr01,1968,1969,G,190,190,March 7 1943,University of Nebraska
Johnny Simmons\simmojo01,1947,1947,G,185,184,July 7 1924,New York University
Jonathon Simmons\simmojo02,2016,2017,G-F,198,195,September 14 1989,University of Houston
Lionel Simmons\simmoli01,1991,1997,F,200,210,November 14 1968,La Salle University
Miles Simon\simonmi01,1999,1999,G,190,202,November 21 1975,University of Arizona
Walter Simon\simonwa01,1968,1974,F-G,198,200,December 1 1939,Benedict College
Dickey Simpkins\simpkdi01,1995,2002,F,205,248,April 6 1972,Providence College
Ralph Simpson\simpsra01,1971,1980,G-F,195,200,August 10 1949,Michigan State University
Alvin Sims\simsal01,1999,1999,G,193,235,October 18 1974,University of Louisville
Bob Sims\simsbo01,1962,1968,G-F,195,220,October 9 1938,Pepperdine University
Courtney Sims\simsco01,2008,2009,C,208,245,October 21 1983,University of Michigan
Doug Sims\simsdo01,1969,1969,F,200,195,June 29 1943,Kent State University
Henry Sims\simshe01,2013,2016,C,208,248,March 27 1990,Georgetown University
Scott Sims\simssc01,1978,1978,G,185,170,April 18 1955,University of Missouri
Kyle Singler\singlky01,2013,2017,F,203,228,May 4 1988,Duke University
Sean Singletary\singlse01,2009,2009,G,182,185,September 6 1985,University of Virginia
Chris Singleton\singlch01,2012,2014,F,203,230,November 21 1989,Florida State University
James Singleton\singlja01,2006,2012,F,203,216,July 20 1981,Murray State University
McKinley Singleton\singlmc01,1987,1987,G,195,175,October 29 1961,University of Alabama at Birmingham
Zeke Sinicola\sinicze01,1952,1954,G,177,165,January 25 1929,Niagara University
Charlie Sitton\sittoch01,1985,1985,F,203,210,July 3 1962,Oregon State University
Peyton Siva\sivape01,2014,2014,G,182,185,October 24 1990,University of Louisville
Scott Skiles\skilesc01,1987,1996,G,185,180,March 5 1964,Michigan State University
Al Skinner\skinnal01,1975,1980,G,190,190,June 16 1952,University of Massachusetts Amherst
Brian Skinner\skinnbr01,1999,2012,F,205,255,May 19 1976,Baylor University
Tal Skinner\skinnta01,1975,1976,F-G,195,195,September 10 1952,University of Maryland Eastern Shore
Whitey Skoog\skoogwh01,1952,1957,G,180,180,November 2 1926,University of Minnesota
Jeff Slade\sladeje01,1963,1963,F,198,220,March 1 1941,Kenyon College
Reggie Slater\slatere01,1995,2003,F,200,215,August 27 1970,University of Wyoming
Jim Slaughter\slaugji01,1952,1952,C,210,210,May 13 1928,University of South Carolina
Jose Slaughter\slaugjo01,1983,1983,G,195,205,September 9 1960,University of Portland
Tamar Slay\slayta01,2003,2005,G,203,215,April 2 1980,Marshall University
Donald Sloan\sloando01,2012,2016,G,190,205,January 15 1988,Texas A&M University
Jerry Sloan*\sloanje01,1966,1976,G-F,195,195,March 28 1942,University of Evansville
Uros Slokar\slokaur01,2007,2007,F,208,238,May 14 1983,
Tom Sluby\slubyto01,1985,1985,G,193,200,February 18 1962,University of Notre Dame
Keith Smart\smartke01,1989,1989,G,185,175,September 21 1964,Indiana University
Marcus Smart\smartma01,2015,2017,G,193,220,March 6 1994,Oklahoma State University
Belus Smawley\smawlbe01,1947,1952,G-F,185,195,March 20 1918,Appalachian State University
Jack Smiley\smileja01,1949,1950,F-G,190,190,December 22 1922,University of Illinois at Urbana-Champaign
Adrian Smith\smithad01,1962,1972,G,185,180,October 5 1936,University of Kentucky
Al Smith\smithal01,1972,1976,G,185,185,January 15 1947,Bradley University
Bill Smith\smithbi01,1962,1962,G-F,195,190,April 26 1939,Saint Peter's College
Bingo Smith\smithbi02,1970,1980,F-G,195,195,February 26 1946,University of Tulsa
Bobby Smith\smithbo01,1960,1962,G,193,190,August 20 1937,West Virginia University
Charles Smith\smithch01,1989,1997,F-C,208,230,July 16 1965,University of Pittsburgh
Charles Smith\smithch02,1990,1996,G,185,160,November 29 1967,Georgetown University
Charles Smith\smithch04,1998,2006,G,193,194,August 22 1975,University of New Mexico
Chris Smith\smithch03,1993,1995,G,190,190,May 17 1970,University of Connecticut
Chris Smith\smithch05,2014,2014,G,187,200,October 13 1987,University of Louisville
Clinton Smith\smithcl01,1987,1991,F,198,210,January 19 1964,Cleveland State University
Craig Smith\smithcr01,2007,2012,F,200,250,November 10 1983,Boston College
Deb Smith\smithde01,1947,1947,F,190,180,January 7 1920,University of Utah
Derek Smith\smithde02,1983,1991,G-F,198,205,November 1 1961,University of Louisville
Don Smith\smithdo01,1949,1949,G-F,187,190,July 27 1920,University of Minnesota
Don Smith\smithdo02,1975,1975,G,182,160,October 10 1951,University of Dayton
Donta Smith\smithdo04,2005,2006,G-F,200,215,November 27 1983,Southeastern Illinois College
Doug Smith\smithdo03,1992,1996,F,208,220,September 17 1969,University of Missouri
Ed Smith\smithed01,1954,1954,F,198,180,July 5 1929,Harvard University
Elmore Smith\smithel01,1972,1979,C,213,250,May 9 1949,Kentucky State University
Garfield Smith\smithga01,1971,1973,C-F,205,235,November 18 1945,Eastern Kentucky University
Greg Smith\smithgr01,1969,1976,F,195,195,January 28 1947,Western Kentucky University
Greg Smith\smithgr02,2012,2016,C,208,250,January 8 1991,California State University Fresno
Ish Smith\smithis01,2011,2017,G,182,175,July 5 1988,Wake Forest University
J.R. Smith\smithjr01,2005,2017,G-F,198,225,September 9 1985,
Jabari Smith\smithja01,2001,2005,C,210,250,February 12 1977,Louisiana State University
Jason Smith\smithja02,2008,2017,F-C,213,245,March 2 1986,Colorado State University
Jerry Smith\smithje01,2012,2012,G,187,190,September 26 1987,University of Louisville
Jim Smith\smithji01,1982,1983,F,205,225,April 12 1958,Ohio State University
Joe Smith\smithjo02,1996,2011,F,208,225,July 26 1975,University of Maryland
John Smith\smithjo01,1969,1970,C,213,235,May 24 1944,University of Southern Colorado
Josh Smith\smithjo03,2005,2016,F,205,225,December 5 1985,
Keith Smith\smithke03,1987,1987,G,190,180,March 9 1964,Loyola Marymount University
Ken Smith\smithke02,1976,1976,F,200,185,July 12 1953,University of Tulsa
Kenny Smith\smithke01,1988,1997,G,190,170,March 8 1965,University of North Carolina
LaBradford Smith\smithla02,1992,1994,G,190,200,April 3 1969,University of Louisville
Larry Smith\smithla01,1981,1993,F-C,203,215,January 18 1958,Alcorn State University
Leon Smith\smithle01,2002,2004,C,208,235,November 2 1980,
Michael Smith\smithmi01,1990,1995,F,208,225,May 19 1965,Brigham Young University
Michael Smith\smithmi02,1995,2001,F,203,230,March 28 1972,Providence College
Mike Smith\smithmi03,2001,2001,F,203,195,April 15 1976,University of Louisiana at Monroe
Nolan Smith\smithno01,2012,2013,G,187,185,July 25 1988,Duke University
Otis Smith\smithot01,1987,1992,G-F,195,210,January 30 1964,Jacksonville University
Pete Smith\smithpe01,1973,1973,F,198,205,,Valdosta State University
Phil Smith\smithph01,1975,1983,G,193,185,April 22 1952,University of San Francisco
Randy Smith\smithra01,1972,1983,G-F,190,180,December 12 1948,State University of New York College at Buffalo
Reggie Smith\smithre01,1993,1994,C,208,240,August 21 1970,Texas Christian University
Robert Smith\smithro01,1978,1985,G,180,165,March 10 1955,University of Nevada Las Vegas
Russ Smith\smithru01,2015,2016,G,182,165,April 19 1991,University of Louisville
